里程(公里),路線,總里程,里程,地標名稱,分段第一行,分段第二行,左下角備註,右下角備註
31.8,CM300,500,475,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
31.9,CM300,500,476,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
32,CM300,500,477,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
32.1,CM300,500,478,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
32.2,CM300,500,479,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)➡第二越嶺點(480)⇨奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
32.3,CM300,500,480,第二越嶺點,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
32.4,CM300,500,481,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
32.5,CM300,500,482,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
32.6,CM300,500,483,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
32.7,CM300,500,484,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
32.8,CM300,500,485,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
32.9,CM300,500,486,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
33,CM300,500,487,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
33.1,CM300,500,488,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
33.2,CM300,500,489,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
33.3,CM300,500,490,馬軍山岔路,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
33.4,CM300,500,491,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
33.5,CM300,500,492,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
33.6,CM300,500,493,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
33.7,CM300,500,494,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
33.8,CM300,500,495,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
33.9,CM300,500,496,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
34,CM300,500,497,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
34.1,CM300,500,498,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
34.2,CM300,500,499,,第二獵寮(391)⇨金杏真路岔路(417)⇨,溪底岔路(450)⇨第二越嶺點(480)➡奧萬大(500),林務局、中華民國山岳協會合製,請珍惜國家公共資源
34.3,CM300,500,500,奧萬大,,,林務局、中華民國山岳協會合製,請珍惜國家公共資源
0,CM300,500,157,光被八表,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
4.8,CM300,500,205,能高山主峰,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)➡台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
5.8,CM300,500,215,台灣池,光被八表(157)⇨卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)➡大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
6.5,CM300,500,222,大陸池,大陸池(222)➡能高山南峰(248),⇨南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
9.1,CM300,500,248,能高山南峰,大陸池(222)⇨能高山南峰(248),➡南峰南鞍營地(257),林務局、中華民國山岳協會合製,請珍惜國家公共資源
12.7,CM300,500,284,光頭山,3171峰南鞍營地(272)⇨光頭山(284),➡白石池(299)⇨白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
14.2,CM300,500,299,白石池,3185峰南鞍營地(272)⇨光頭山(284),⇨白石池(299)➡白石妹池(305),林務局、中華民國山岳協會合製,請珍惜國家公共資源
14.8,CM300,500,305,白石妹池,白石妹池(305)➡白石山(323),⇨萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
16.6,CM300,500,323,白石山,白石妹池(305)⇨白石山(323),➡萬里池(333),林務局、中華民國山岳協會合製,請珍惜國家公共資源
17.6,CM300,500,333,萬里池,萬里池(333)➡屯鹿池(350),⇨屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
19.3,CM300,500,350,屯鹿池,萬里池(333)⇨屯鹿池(350),➡屯鹿池營地(351)⇨屯鹿妹池(354),林務局、中華民國山岳協會合製,請珍惜國家公共資源
19.7,CM300,500,354,屯鹿妹池,屯鹿妹池(354)➡安東軍山岔路(362),⇨第二獵寮(391),林務局、中華民國山岳協會合製,請珍惜國家公共資源
34.3,CM300,500,500,奧萬大,,,林務局、中華民國山岳協會合製,請珍惜國家公共資源
1.1,CM300,500,168,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
1.1,CM300,500,168,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
1.1,CM300,500,168,,光被八表(157)➡卡賀爾山岔路(185)⇨,能高山主峰(205)⇨台灣池(215)⇨大陸池(222),林務局、中華民國山岳協會合製,請珍惜國家公共資源
